name,role,country,team,price
Sanju Samson,Wicket Keeper,India,RR,80000000
Jofra Archer,All Rounder,England,RR,72000000
Jos Buttler,Wicket Keeper,England,RR,44000000
Ankit Singh Rajpoot,Bowler,India,RR,30000000
Rahul Tewatia,All Rounder,India,RR,30000000
Robin Uthappa,Batsman,India,RR,30000000
Jaydev Unadkat,Bowler,India,RR,30000000
Varun Aaron,Bowler,India,RR,24000000
Yashasvi Jaiswal,All Rounder,India,RR,24000000
Mayank Markande,Bowler,India,RR,20000000
Kartik Tyagi,Bowler,India,RR,13000000
Andrew Tye,Bowler,Australia,RR,10000000
Tom Curran,All Rounder,England,RR,10000000
Anuj Rawat,Wicket Keeper,India,RR,8000000
David Miller,Batsman,South Africa,RR,7500000
Oshane Thomas,Bowler,West Indies,RR,5000000
Shashank Singh,All Rounder,India,RR,3000000
Mahipal Lomror,All Rounder,India,RR,2000000
Manan Vohra,Batsman,India,RR,2000000
Riyan Parag,All Rounder,India,RR,2000000
Shreyas Gopal,All Rounder,India,RR,2000000
Akash Singh,Bowler,India,RR,2000000
Anirudha Joshi,All Rounder,India,RR,2000000
